# Entropy Sorting merger, performed at 12-09-2025 15:47:07
# star_mass = 17.2005276668275151
# num_shells = 3904
# chemical_species = h1, he3, he4, c12, n14, o16
id      mass                      dm                        density                   entropy                   passive_scalar            mean_mu                   h1                        he3                       he4                       c12                       n14                       o16                       
10      8.9786946272732329e-02    8.1748222333383851e-03    5.5969411871986487e+00    1.4720725752076876e+09    1.0000000000000000e+00    7.7401579588616554e-01    4.4327895838168307e-01    3.8420517311967421e-08    5.4288539585458750e-01    9.8889788343188982e-05    8.7373944438783619e-03    6.0457585045917606e-04    
11      9.7916402408074074e-02    8.1294561353417449e-03    5.7164727570645946e+00    1.4720727435090439e+09    1.0000000000000000e+00    7.7401579591659331e-01    4.4327895834047604e-01    3.8420492455856596e-08    5.4288539589624163e-01    9.8889790792206384e-05    8.7373944411198255e-03    6.0457585034643247e-04    
12      1.0613170100527793e-01    8.2152985972038569e-03    5.5861771578822248e+00    1.4720730593685019e+09    1.0000000000000000e+00    7.7401579588344227e-01    4.4327895838537051e-01    3.8420519505034633e-08    5.4288539585086226e-01    9.8889788136675600e-05    8.7373944441104939e-03    6.0457585046923474e-04    
13      1.1426115714061967e-01    8.1294561353417449e-03    5.7274502015128306e+00    1.4720732517634606e+09    1.0000000000000000e+00    7.7401579591940495e-01    4.4327895833666803e-01    3.8420490127001969e-08    5.4288539590009322e-01    9.8889791031956891e-05    8.7373944408492624e-03    6.0457585033598163e-04    
14      1.2247645573782352e-01    8.2152985972038569e-03    5.5754108119018069e+00    1.4720736259635291e+09    1.0000000000000000e+00    7.7401579588072134e-01    4.4327895838905479e-01    3.8420521691074905e-08    5.4288539584714046e-01    9.8889787932356630e-05    8.7373944443400759e-03    6.0457585047928031e-04    
15      1.3060591187316528e-01    8.1294561353417449e-03    5.7384537288745481e+00    1.4720738423834665e+09    1.0000000000000000e+00    7.7401579592222591e-01    4.4327895833284703e-01    3.8420487784845617e-08    5.4288539590395835e-01    9.8889791274869922e-05    8.7373944405750442e-03    6.0457585032548916e-04    
16      1.3882121047036913e-01    8.2152985972038569e-03    5.5646685253276571e+00    1.4720742744217939e+09    1.0000000000000000e+00    7.7401579587800939e-01    4.4327895839272696e-01    3.8420523864755332e-08    5.4288539584343110e-01    9.8889787730705367e-05    8.7373944445665788e-03    6.0457585048928804e-04    
17      1.4692539774580526e-01    8.1041872754361397e-03    5.7494664156325221e+00    1.4720745140753047e+09    1.0000000000000000e+00    7.7401579592505243e-01    4.4327895832901892e-01    3.8420485432957061e-08    5.4288539590783114e-01    9.8889791520606567e-05    8.7373944402975544e-03    6.0457585031497153e-04    
18      1.5514069634300912e-01    8.2152985972038569e-03    5.5539501283719854e+00    1.4720750039246731e+09    1.0000000000000000e+00    7.7401579587530622e-01    4.4327895839638715e-01    3.8420526026158222e-08    5.4288539583973439e-01    9.8889787531685611e-05    8.7373944447900441e-03    6.0457585049925836e-04    
19      1.6324488361844525e-01    8.1041872754361397e-03    5.7604882522362528e+00    1.4720752687238657e+09    1.0000000000000000e+00    7.7401579592788416e-01    4.4327895832518360e-01    3.8420483071327845e-08    5.4288539591171148e-01    9.8889791769190814e-05    8.7373944400167651e-03    6.0457585030442853e-04    
