# Entropy Sorting merger, performed at 12-09-2025 15:47:07
# star_mass = 16.3388431180549389
# num_shells = 151
# chemical_species = h1, he3, he4, c12, n14, o16
id      mass                      dm                        density                   entropy                   passive_scalar            mean_mu                   h1                        he3                       he4                       c12                       n14                       o16                       
17      2.1164751182390682e+00    1.1639837899006579e-01    5.9723283641097513e+00    1.4723885659802320e+09    1.0000000000000000e+00    7.7401579609165028e-01    4.4327895810239443e-01    3.8420299201424483e-08    5.4288539614198195e-01    9.8889835037581475e-05    8.7373943901381187e-03    6.0457584961740637e-04    
18      2.2317920563036564e+00    1.1531693806458820e-01    5.8000006209213630e+00    1.4723968724279552e+09    1.0000000000000000e+00    7.7401579605859194e-01    4.4327895814710666e-01    3.8420322759118265e-08    5.4288539609707120e-01    9.8889834077391580e-05    8.7373943911552166e-03    6.0457584973526456e-04    
19      2.3524989478993219e+00    1.2070689159566761e-01    5.9520565794910416e+00    1.4724042636171021e+09    1.0000000000000000e+00    7.7401579608842708e-01    4.4327895810672069e-01    3.8420299677333293e-08    5.4288539613780395e-01    9.8889835936361468e-05    8.7373943890819601e-03    6.0457584962607337e-04    
20      2.4720660661123599e+00    1.1956711821303811e-01    6.5037329936330046e+00    1.4724119150588901e+09    1.0000000000000000e+00    7.7401579619555849e-01    4.4327895796160616e-01    3.8420214546782999e-08    5.4288539628464560e-01    9.8889845489262459e-05    8.7373943782869893e-03    6.0457584922597838e-04    
21      2.5923626399278565e+00    1.2029657381549694e-01    6.3708304241931364e+00    1.4724196072247248e+09    1.0000000000000000e+00    7.7401579619529759e-01    4.4327895796158945e-01    3.8420201442531533e-08    5.4288539628650989e-01    9.8889856473866405e-05    8.7373943654979937e-03    6.0457584919583636e-04    
22      2.7313271215786070e+00    1.3896448165074982e-01    5.0599586304229689e+00    1.4724671495965245e+09    1.0000000000000000e+00    7.7401579590618275e-01    4.4327895835288122e-01    3.8420419016634014e-08    5.4288539589219875e-01    9.8889840452278093e-05    8.7373943832697847e-03    6.0457585024733520e-04    
23      2.8643217385380169e+00    1.3299461695940817e-01    4.0791403429679374e+00    1.4726546575194390e+09    1.0000000000000000e+00    7.7401579549729216e-01    4.4327895890777197e-01    3.8420774301718805e-08    5.4288539532557956e-01    9.8889773423274448e-05    8.7373944600578173e-03    6.0457585186158983e-04    
24      2.9966453705857812e+00    1.3232363204776726e-01    3.9430207434849747e+00    1.4729870024210353e+09    1.0000000000000000e+00    7.7401579547467503e-01    4.4327895893835212e-01    3.8420785969863198e-08    5.4288539529492208e-01    9.8889773089707209e-05    8.7373944603766351e-03    6.0457585194198190e-04    
25      3.1281925623416358e+00    1.3154719175585405e-01    3.8073006291883100e+00    1.4739836249309368e+09    1.0000000000000000e+00    7.7375672738188306e-01    4.4362930725463712e-01    1.0371080541025023e-07    5.4253454622064334e-01    9.6975411513667420e-05    8.7388130282327475e-03    6.0550711363638635e-04    
26      3.2588671765154134e+00    1.3067461417377912e-01    3.5844036141167002e+00    1.5137385899188282e+09    1.0000000000000000e+00    7.5467371705603670e-01    4.7009493750942083e-01    1.2464478350550455e-06    5.1605099582561875e-01    5.7635743926026107e-05    8.7131637634587904e-03    6.8727344920919173e-04    
