# 29-04-2026 10:47:57
# star_mass = 15.6269593047138304
# num_shells = 196
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
13      1.1628355450262449e+00    8.1072143353336124e-02    5.1437264402703986e-01    9.9249931923153714e+00    4.0661478164511432e+16    6.5060174676292590e+15    1.4191550313147212e+16    3.1189739939285394e+07    6.7245835524753828e-01    0.0000000000000000e+00    6.0130634817336648e-01    2.7628534913657571e-07    3.8469675063878489e-01    7.4774682781430596e-05    7.6665401084533577e-03    1.8605628507340798e-03    
14      1.2484857942550658e+00    8.5650249228820918e-02    5.2871714420240068e-01    9.6967731615975996e+00    3.9437406705978616e+16    6.4590622807402410e+15    1.4310246000304118e+16    3.0960686961748961e+07    6.7245835523633668e-01    0.0000000000000000e+00    6.0130634819345030e-01    2.7628541716048452e-07    3.8469675061844194e-01    7.4774681865447595e-05    7.6665401092532396e-03    1.8605628510412388e-03    
15      1.3277515863144234e+00    7.9265792059357576e-02    5.4310697932692797e-01    9.4920829819126080e+00    3.8355497204442480e+16    6.4178699688808860e+15    1.4423956978565862e+16    3.0757748802356239e+07    6.7245835522630770e-01    0.0000000000000000e+00    6.0130634821142814e-01    2.7628547604032612e-07    3.8469675060025199e-01    7.4774681152167777e-05    7.6665401098455705e-03    1.8605628513153299e-03    
16      1.4239431313843594e+00    9.6191545069935991e-02    5.5778173933397035e-01    9.2684875038490606e+00    3.7187947534087928e+16    6.3733627223898060e+15    1.4555179687926964e+16    3.0536904098697193e+07    6.7245835521553876e-01    0.0000000000000000e+00    6.0130634823072948e-01    2.7628553699407840e-07    3.8469675058074304e-01    7.4774680491548757e-05    7.6665401103595430e-03    1.8605628516087584e-03    
17      1.5146833818891445e+00    9.0740250504785180e-02    5.7368829902227525e-01    9.0367456829489328e+00    3.5994215188278488e+16    6.3279326884402650e+15    1.4699823882183770e+16    3.0309455401008543e+07    6.7245835520445352e-01    0.0000000000000000e+00    6.0130634825059481e-01    2.7628559736519276e-07    3.8469675056068242e-01    7.4774679907947515e-05    7.6665401107768212e-03    1.8605628519100014e-03    
18      1.5967639330637773e+00    8.2080551174632754e-02    5.8686420096381997e-01    8.8388145574192780e+00    3.4987346436460844e+16    6.2896356715662440e+15    1.4830626720285530e+16    3.0116097269787468e+07    6.7245835519502128e-01    0.0000000000000000e+00    6.0130634826749563e-01    2.7628564677695545e-07    3.8469675054362906e-01    7.4774679481222277e-05    7.6665401110508936e-03    1.8605628521657449e-03    
19      1.6825077117036373e+00    8.5743778639860047e-02    5.9909402351805674e-01    8.6451129781918716e+00    3.4015305585610764e+16    6.2530519612293040e+15    1.4966724939905832e+16    2.9929227221143872e+07    6.7245835518560282e-01    0.0000000000000000e+00    6.0130634828437091e-01    2.7628569430560863e-07    3.8469675052661284e-01    7.4774679111853299e-05    7.6665401112587708e-03    1.8605628524206617e-03    
20      1.7707918774591047e+00    8.8284165755467381e-02    6.1237940068448926e-01    8.4450372951083530e+00    3.3024850171688852e+16    6.2162040805386000e+15    1.5116238387454576e+16    2.9738636910061840e+07    6.7245835517516561e-01    0.0000000000000000e+00    6.0130634830306973e-01    2.7628574499277827e-07    3.8469675050776880e-01    7.4774678757154133e-05    7.6665401114257995e-03    1.8605628527027030e-03    
21      1.8655931552007006e+00    9.4801277741595857e-02    6.2571567236691650e-01    8.2404212458206825e+00    3.2026228799916120e+16    6.1795888326768320e+15    1.5279352492810982e+16    2.9546498660867378e+07    6.7245835516161578e-01    0.0000000000000000e+00    6.0130634832734264e-01    2.7628580811319942e-07    3.8469675048332125e-01    7.4774678361576153e-05    7.6665401115673945e-03    1.8605628530683200e-03    
22      1.9482074846610151e+00    8.2614329460314551e-02    6.3908292320516047e-01    8.0459411569880235e+00    3.1094481456567992e+16    6.1467600226270640e+15    1.5447322270409008e+16    2.9369868769224849e+07    6.7245835514866803e-01    0.0000000000000000e+00    6.0130634835053631e-01    2.7628586626910976e-07    3.8469675045997048e-01    7.4774678029624646e-05    7.6665401116492891e-03    1.8605628534173271e-03    
