# 12-09-2025 15:49:25
# star_mass = 15.6269569279461766
# num_shells = 143
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
10      1.1487092487566204e+00    1.3034909204965239e-01    5.0815305535286859e-01    1.0026991549709882e+01    4.1213911905840832e+16    6.5272086657912870e+15    1.4140779898259874e+16    3.1292550746576034e+07    6.7245835525271602e-01    0.0000000000000000e+00    6.0130634816408191e-01    2.7628531674444068e-07    3.8469675064819964e-01    7.4774683261216973e-05    7.6665401080182553e-03    1.8605628505916241e-03    
11      1.2800380893116887e+00    1.3132884055506833e-01    5.3153517924458327e-01    9.6684718891653496e+00    3.9287168399510984e+16    6.4533601038494350e+15    1.4325663044341018e+16    3.0932650382090081e+07    6.7245835523504272e-01    0.0000000000000000e+00    6.0130634819577000e-01    2.7628542475127965e-07    3.8469675061609493e-01    7.4774681773934467e-05    7.6665401093290635e-03    1.8605628510766003e-03    
12      1.3893686750271739e+00    1.0933058571548515e-01    5.5128588677303636e-01    9.3691888229524860e+00    3.7711489290189264e+16    6.3932567813330420e+15    1.4494923288111192e+16    3.0635946831166148e+07    6.7245835522045283e-01    0.0000000000000000e+00    6.0130634822192253e-01    2.7628550942268819e-07    3.8469675058964259e-01    7.4774680782540109e-05    7.6665401101371289e-03    1.8605628514749555e-03    
13      1.4990960989066009e+00    1.0972742387942702e-01    5.6855833152248225e-01    9.0996550684514776e+00    3.6316161436915800e+16    6.3401005992129520e+15    1.4659410008247540e+16    3.0370719035617180e+07    6.7245835520753872e-01    0.0000000000000000e+00    6.0130634824506612e-01    2.7628558075936996e-07    3.8469675056626396e-01    7.4774680062931193e-05    7.6665401106693143e-03    1.8605628518262231e-03    
14      1.6350990361588362e+00    1.3600293725223533e-01    5.8857705127731641e-01    8.8042490835820502e+00    3.4813136703325404e+16    6.2830845080727530e+15    1.4854424831896464e+16    3.0082731884592850e+07    6.7245835519343866e-01    0.0000000000000000e+00    6.0130634827033147e-01    2.7628565476309336e-07    3.8469675054076957e-01    7.4774679419272605e-05    7.6665401110856861e-03    1.8605628522085815e-03    
15      1.7273649266540954e+00    9.2265890495259129e-02    6.0654999388959607e-01    8.5364252415720863e+00    3.3474842167385988e+16    6.2327635893232420e+15    1.5046368463683032e+16    2.9824842764444247e+07    6.7245835518015962e-01    0.0000000000000000e+00    6.0130634829412255e-01    2.7628572098968254e-07    3.8469675051678426e-01    7.4774678920392872e-05    7.6665401113533991e-03    1.8605628525677970e-03    
16      1.7917970438234299e+00    6.4432117169334502e-02    6.1761115225055863e-01    8.3687151911004172e+00    3.2649520969254120e+16    6.2021681157360090e+15    1.5175143541716490e+16    2.9665744065758344e+07    6.7245835517078045e-01    0.0000000000000000e+00    6.0130634831092522e-01    2.7628576575908677e-07    3.8469675049985536e-01    7.4774678621388629e-05    7.6665401114806081e-03    1.8605628528210864e-03    
17      1.8939190904676613e+00    1.0212204664423141e-01    6.3040037384652836e-01    8.1744654125178773e+00    3.1707311672451672e+16    6.1680064172284800e+15    1.5334211228297614e+16    2.9485114460405227e+07    6.7245835515700758e-01    0.0000000000000000e+00    6.0130634833559771e-01    2.7628582905535864e-07    3.8469675047500906e-01    7.4774678238518502e-05    7.6665401116022347e-03    1.8605628531925774e-03    
18      2.0286689039584291e+00    1.3474981349076787e-01    6.4807379313141711e-01    7.9075542962914378e+00    3.0444197761482572e+16    6.1251987199426450e+15    1.5576760771554204e+16    2.9249917845267769e+07    6.7245835514164121e-01    0.0000000000000000e+00    6.0130634836312280e-01    2.7628589666300369e-07    3.8469675044730367e-01    7.4774677871537967e-05    7.6665401116681508e-03    1.8605628536065533e-03    
19      2.1752079472540919e+00    1.4653904329566281e-01    6.6639920440122169e-01    7.6235148853984400e+00    2.9140225128243268e+16    6.0854498517441690e+15    1.5869440368382238e+16    2.9017776272519890e+07    6.7245835513159413e-01    0.0000000000000000e+00    6.0130634838111918e-01    2.7628593855746449e-07    3.8469675042919826e-01    7.4774677671427979e-05    7.6665401116650456e-03    1.8605628538769143e-03    
20      2.2692928046804779e+00    9.4084857426385948e-02    6.8692049136790545e-01    7.3722506231279912e+00    2.8032145919779580e+16    6.0578482917875880e+15    1.6166791135660384e+16    2.8825400160257652e+07    6.7205609193507299e-01    0.0000000000000000e+00    6.0202737794701811e-01    8.2390439055543900e-07    3.8397325747312760e-01    7.1654574889950018e-05    7.6604099494524238e-03    1.8717288905904549e-03    
21      2.3405115374752015e+00    7.1218732794723572e-02    6.9354575269853136e-01    7.1054252669089255e+00    2.7326699669677168e+16    6.1245390989184110e+15    1.6743661303454634e+16    2.8589784383704919e+07    6.5870331690018291e-01    0.0000000000000000e+00    6.2646302150092048e-01    5.0156075205374552e-06    3.5947305299722748e-01    3.9906509181698026e-05    7.3119042373674462e-03    2.3123518872511630e-03    
22      2.4781724181435800e+00    1.3766088066837856e-01    7.1415024368115443e-01    6.6946263056128421e+00    2.6394833794295880e+16    6.2713786395307210e+15    1.7817081306332998e+16    2.8199760290053416e+07    6.3293229603495849e-01    0.0000000000000000e+00    6.7655776749699337e-01    6.4642834751870507e-06    3.0916790010639245e-01    3.0543728310465839e-05    5.8710431944158162e-03    3.9715339298813128e-03    
23      2.5803574216159499e+00    1.0218500347236992e-01    7.2253911039666363e-01    6.3344901157920610e+00    2.5385491944525984e+16    6.3710804609209860e+15    1.8769313981653608e+16    2.7860757624510586e+07    6.1484065208152239e-01    0.0000000000000000e+00    7.1426797754174165e-01    8.0546736812922830e-06    2.7112802039755668e-01    1.8037919945868815e-05    3.6036684967644165e-03    6.5794937097786868e-03    
