# 12-09-2025 15:48:49
# star_mass = 7.1063820468268721
# num_shells = 1962
# element_names = h1, he3, he4, c12, n14, o16
id      mass                      dm                        radius                    density                   pressure                  e_thermal                 buoyancy                  temperature               mean_mu                   passive_scalar            h1                        he3                       he4                       c12                       n14                       o16                       
17      1.8015027320629019e-02    5.7329224382317613e-03    1.2602334974302795e-01    1.2596232821799743e+01    4.7613001124370472e+16    5.8932787300887510e+15    1.2779656147062158e+16    2.9366899812765196e+07    6.7245835548181976e-01    0.0000000000000000e+00    6.0130634775156377e-01    2.7628352679655859e-07    3.8469675107545648e-01    7.4774755856988245e-05    7.6665400292699002e-03    1.8605628437953809e-03    
18      2.3747949758861360e-02    5.7329224382325506e-03    1.3830761296830760e-01    1.2535932161473486e+01    4.7246250100486736e+16    5.8752491702457120e+15    1.2792857410733396e+16    2.9284990668191191e+07    6.7245835547863864e-01    0.0000000000000000e+00    6.0130634775732461e-01    2.7628355467864154e-07    3.8469675106932266e-01    7.4774753864490797e-05    7.6665400315029638e-03    1.8605628438999717e-03    
19      2.8461862604906539e-02    4.7139128460452788e-03    1.4701510358143344e-01    1.2485884869963909e+01    4.6942608725491064e+16    5.8602536001593580e+15    1.2803917215390472e+16    2.9216835613894530e+07    6.7245835547594801e-01    0.0000000000000000e+00    6.0130634776219627e-01    2.7628357823049126e-07    3.8469675106414059e-01    7.4774752209623785e-05    7.6665400333565305e-03    1.8605628439880993e-03    
20      3.3175775450951718e-02    4.7139128460452788e-03    1.5482303953882937e-01    1.2443384050668714e+01    4.6685355120247248e+16    5.8475058657316420e+15    1.2813400155662334e+16    2.9158871404949173e+07    6.7245835547363830e-01    0.0000000000000000e+00    6.0130634776637737e-01    2.7628359842540177e-07    3.8469675105969636e-01    7.4774750808852169e-05    7.6665400349247648e-03    1.8605628440635277e-03    
21      3.7889688296996904e-02    4.7139128460452788e-03    1.6193616817504150e-01    1.2403027150065659e+01    4.6441560176543736e+16    5.8353855148574910e+15    1.2822475401447852e+16    2.9103740149799403e+07    6.7245835547142652e-01    0.0000000000000000e+00    6.0130634777038050e-01    2.7628361774336763e-07    3.8469675105544426e-01    7.4774749485275965e-05    7.6665400364059081e-03    1.8605628441355603e-03    
22      4.2603601143042076e-02    4.7139128460452788e-03    1.6849354414011644e-01    1.2364443385500403e+01    4.6208916331372336e+16    5.8237833838811920e+15    1.2831217034235318e+16    2.9050948007473879e+07    6.7245835546929789e-01    0.0000000000000000e+00    6.0130634777423264e-01    2.7628363631489529e-07    3.8469675105135548e-01    7.4774748227744356e-05    7.6665400378125277e-03    1.8605628442047032e-03    
23      4.8416582230695726e-02    5.8129810876536066e-03    1.7595960312830897e-01    1.2323029004091905e+01    4.5959716399078504e+16    5.8113189548722690e+15    1.2840679368035790e+16    2.8994210347484786e+07    6.7245835546700206e-01    0.0000000000000000e+00    6.0130634777838721e-01    2.7628365632703324e-07    3.8469675104694828e-01    7.4774746887967705e-05    7.6665400393105014e-03    1.8605628442791031e-03    
24      5.4229563318349383e-02    5.8129810876536066e-03    1.8286437192983160e-01    1.2279242057664502e+01    4.5696746787978792e+16    5.7981181504007010e+15    1.2850757321750456e+16    2.8934100625983957e+07    6.7245835546456190e-01    0.0000000000000000e+00    6.0130634778280179e-01    2.7628367756820128e-07    3.8469675104226869e-01    7.4774745485011815e-05    7.6665400408782985e-03    1.8605628443579432e-03    
25      6.0042544406003033e-02    5.8129810876536066e-03    1.8930507963192214e-01    1.2237108760235502e+01    4.5444234194297928e+16    5.7853987699528520e+15    1.2860534925489440e+16    2.8876161262162510e+07    6.7245835546220489e-01    0.0000000000000000e+00    6.0130634778706493e-01    2.7628369805702803e-07    3.8469675103775303e-01    7.4774744149312225e-05    7.6665400423701728e-03    1.8605628444338766e-03    
26      6.5855525493656683e-02    5.8129810876536066e-03    1.9535453444853357e-01    1.2196409144169300e+01    4.5200804615353240e+16    5.7730962266842860e+15    1.2870055503106460e+16    2.8820100274884604e+07    6.7245835545992227e-01    0.0000000000000000e+00    6.0130634779119374e-01    2.7628371787805544e-07    3.8469675103338258e-01    7.4774742873420845e-05    7.6665400437945256e-03    1.8605628445072329e-03    
